1,5450.00,215,0.00,0.00,1.0439,1.0439,0
2,5300.00,215,11.51,1.82,1.0217,1.0269,0.0500
3,4800.00,215,61.64,7.53,0.9552,0.9779,0.1850
4,4300.00,215,119.02,12.64,0.9033,0.9311,0.2176
5,3800.00,215,190.70,17.31,0.8648,0.8927,0.2381
6,3300.00,215,272.80,21.28,0.8384,0.8590,0.2431
7,2800.00,215,366.85,24.57,0.8264,0.8320,0.2407
8,2300.00,215,469.94,27.15,0.8300,0.8093,0.2346
9,1800.00,215,579.24,29.22,0.8466,0.7868,0.2245
10,1300.00,215,690.53,30.89,0.8744,0.7531,0.2123
11,800.00,215,801.58,32.39,0.9127,0.6874,0.2003
12,0.00,215,1000.00,165.50,,,
