t,p,Gp,Np,total_Gp,Wp,Bg,Bw,z
0.0,8490.0,0.0,0.0,0.0,0,0.5404,1.0518,1.271392
0.5,8330.0,1758.0,2000.0,1759.42,0,0.5458,1.0520,1.259897
1.0,8323.0,5852.0,30000.0,5873.24,1000,0.5460,1.0520,1.259299
1.5,8166.0,10410.0,66000.0,10456.73,3000,0.5516,1.0522,1.248217
2.0,8100.0,14828.0,98000.0,14897.38,4000,0.5540,1.0522,1.243516
2.5,7905.0,21097.0,138000.0,21194.70,7000,0.5614,1.0524,1.229789
3.0,7854.0,26399.0,180000.0,26526.44,9000,0.5634,1.0525,1.226208
3.5,7858.0,30042.0,215000.0,30194.22,10000,0.5632,1.0525,1.226397
4.0,7900.0,32766.0,237000.0,32933.80,11000,0.5616,1.0524,1.229449
4.5,7971.0,34548.0,257000.0,34729.96,11000,0.5588,1.0524,1.234314
5.0,7883.0,37590.0,282000.0,37789.66,12000,0.5622,1.0525,1.228114
5.5,7728.0,42446.0,314000.0,42668.31,16000,0.5684,1.0526,1.217244
6.0,7550.0,51117.0,375000.0,51382.50,54000,0.5759,1.0528,1.204899
6.5,7446.0,57697.0,420000.0,57994.36,153000,0.5804,1.0529,1.197586
7.0,7400.0,63678.0,465000.0,64007.22,433000,0.5825,1.0530,1.194494
7.5,7600.0,65432.0,475000.0,65768.30,715000,0.5737,1.0528,1.208245
8.0,7675.0,65613.0,475000.0,65949.30,753000,0.5706,1.0528,1.213575
8.5,7600.0,67593.0,477000.0,67930.72,1042000,0.5737,1.0527,1.208245
9.0,7600.0,70688.0,484000.0,71030.67,1237000,0.5737,1.0528,1.208245
9.5,7615.0,72226.0,488000.0,72571.50,1575000,0.5731,1.0527,1.209363
10.0,7623.0,72943.0,489000.0,73289.21,2383000,0.5728,1.0527,1.210000
